LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
11,081110,001632,3718,INFO,dfs.DataNode$PacketResponder,Received block blk_8868106941010522145 of size 67108864 from /10.250.14.38,e3df2680,Received block <*> of size <*> from <*>,"['blk_8868106941010522145', '67108864', '/10.250.14.38']"
12,081110,001632,3734,INFO,dfs.DataNode$DataXceiver,Receiving block blk_9155125745604678598 src: /10.251.215.16:52796 dest: /10.251.215.16:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_9155125745604678598', '/10.251.215.16:52796', '/10.251.215.16:50010']"
13,081110,001632,4511,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1880683910547246259 src: /10.251.126.83:51500 dest: /10.251.126.83:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-1880683910547246259', '/10.251.126.83:51500', '/10.251.126.83:50010']"
14,081110,001632,4535,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_126746973330987735 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_126746973330987735 terminating']"
15,081110,001632,4535,INFO,dfs.DataNode$PacketResponder,Received block blk_126746973330987735 of size 67108864 from /10.251.75.228,e3df2680,Received block <*> of size <*> from <*>,"['blk_126746973330987735', '67108864', '/10.251.75.228']"
16,081110,001632,4546,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-5884659981652330467 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_-5884659981652330467 terminating']"
17,081110,001632,4546,INFO,dfs.DataNode$PacketResponder,Received block blk_-5884659981652330467 of size 23146880 from /10.251.75.79,e3df2680,Received block <*> of size <*> from <*>,"['blk_-5884659981652330467', '23146880', '/10.251.75.79']"
18,081110,001632,4579,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-327886716134987382 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_-327886716134987382 terminating']"
19,081110,001632,4579,INFO,dfs.DataNode$PacketResponder,Received block blk_-327886716134987382 of size 67108864 from /10.250.17.225,e3df2680,Received block <*> of size <*> from <*>,"['blk_-327886716134987382', '67108864', '/10.250.17.225']"
20,081110,001632,4672,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1397587096438775466 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_-1397587096438775466 terminating']"
21,081110,001632,4672,INFO,dfs.DataNode$PacketResponder,Received block blk_-1397587096438775466 of size 67108864 from /10.251.91.15,e3df2680,Received block <*> of size <*> from <*>,"['blk_-1397587096438775466', '67108864', '/10.251.91.15']"
22,081110,001632,4673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8494358806292363979 src: /10.251.26.131:33050 dest: /10.251.26.131:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_8494358806292363979', '/10.251.26.131:33050', '/10.251.26.131:50010']"
23,081110,001632,4700,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_2837455799996929388 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_2837455799996929388 terminating']"
24,081110,001632,4700,INFO,dfs.DataNode$PacketResponder,Received block blk_2837455799996929388 of size 67108864 from /10.250.6.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_2837455799996929388', '67108864', '/10.250.6.191']"
25,081110,001632,4707,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_6957602416677739668 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_6957602416677739668 terminating']"
26,081110,001632,4707,INFO,dfs.DataNode$PacketResponder,Received block blk_6957602416677739668 of size 67108864 from /10.251.71.16,e3df2680,Received block <*> of size <*> from <*>,"['blk_6957602416677739668', '67108864', '/10.251.71.16']"
27,081110,001632,4727,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-7716635745528250214 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_-7716635745528250214 terminating']"
28,081110,001632,4727,INFO,dfs.DataNode$PacketResponder,Received block blk_-7716635745528250214 of size 67108864 from /10.251.215.16,e3df2680,Received block <*> of size <*> from <*>,"['blk_-7716635745528250214', '67108864', '/10.251.215.16']"
29,081110,001632,4744,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_6600594283101777706 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_6600594283101777706 terminating']"
30,081110,001632,4744,INFO,dfs.DataNode$PacketResponder,Received block blk_6600594283101777706 of size 67108864 from /10.251.107.242,e3df2680,Received block <*> of size <*> from <*>,"['blk_6600594283101777706', '67108864', '/10.251.107.242']"
31,081110,001632,4756,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-327886716134987382 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_-327886716134987382 terminating']"
32,081110,001632,4756,INFO,dfs.DataNode$PacketResponder,Received block blk_-327886716134987382 of size 67108864 from /10.251.26.131,e3df2680,Received block <*> of size <*> from <*>,"['blk_-327886716134987382', '67108864', '/10.251.26.131']"
33,081110,001632,4763,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6757374485953225461 src: /10.251.42.191:34475 dest: /10.251.42.191:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6757374485953225461', '/10.251.42.191:34475', '/10.251.42.191:50010']"
34,081110,001632,4763,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7777824497901115906 src: /10.251.31.242:43877 dest: /10.251.31.242:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_7777824497901115906', '/10.251.31.242:43877', '/10.251.31.242:50010']"
35,081110,001632,4764,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8494358806292363979 src: /10.251.26.131:38778 dest: /10.251.26.131:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_8494358806292363979', '/10.251.26.131:38778', '/10.251.26.131:50010']"
36,081110,001632,4765,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3777443222853261447 src: /10.250.19.16:52184 dest: /10.250.19.16:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-3777443222853261447', '/10.250.19.16:52184', '/10.250.19.16:50010']"
37,081110,001632,4765,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-9108269365332876000 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_-9108269365332876000 terminating']"
38,081110,001632,4765,INFO,dfs.DataNode$PacketResponder,Received block blk_-9108269365332876000 of size 67108864 from /10.251.43.192,e3df2680,Received block <*> of size <*> from <*>,"['blk_-9108269365332876000', '67108864', '/10.251.43.192']"
39,081110,001632,4785,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-7162946963130001114 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_-7162946963130001114 terminating']"
40,081110,001632,4785,INFO,dfs.DataNode$PacketResponder,Received block blk_-7162946963130001114 of size 67108864 from /10.251.90.239,e3df2680,Received block <*> of size <*> from <*>,"['blk_-7162946963130001114', '67108864', '/10.251.90.239']"
41,081110,001632,4787,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6757374485953225461 src: /10.250.15.198:42659 dest: /10.250.15.198:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6757374485953225461', '/10.250.15.198:42659', '/10.250.15.198:50010']"
42,081110,001632,4798,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_6957602416677739668 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_6957602416677739668 terminating']"
43,081110,001632,4798,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-9108269365332876000 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_-9108269365332876000 terminating']"
44,081110,001632,4798,INFO,dfs.DataNode$PacketResponder,Received block blk_6957602416677739668 of size 67108864 from /10.251.71.16,e3df2680,Received block <*> of size <*> from <*>,"['blk_6957602416677739668', '67108864', '/10.251.71.16']"
45,081110,001632,4798,INFO,dfs.DataNode$PacketResponder,Received block blk_-9108269365332876000 of size 67108864 from /10.251.110.160,e3df2680,Received block <*> of size <*> from <*>,"['blk_-9108269365332876000', '67108864', '/10.251.110.160']"
46,081110,001632,4801,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_8242381673699890768 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_8242381673699890768 terminating']"
47,081110,001632,4801,INFO,dfs.DataNode$PacketResponder,Received block blk_8242381673699890768 of size 67108864 from /10.251.106.37,e3df2680,Received block <*> of size <*> from <*>,"['blk_8242381673699890768', '67108864', '/10.251.106.37']"
48,081110,001632,4803,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-69120004258440983 src: /10.251.39.64:57621 dest: /10.251.39.64:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-69120004258440983', '/10.251.39.64:57621', '/10.251.39.64:50010']"
49,081110,001632,4803,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_8826085292178110414 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_8826085292178110414 terminating']"
50,081110,001632,4803,INFO,dfs.DataNode$PacketResponder,Received block blk_8826085292178110414 of size 67108864 from /10.251.31.85,e3df2680,Received block <*> of size <*> from <*>,"['blk_8826085292178110414', '67108864', '/10.251.31.85']"
51,081110,001632,4804,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8868106941010522145 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_8868106941010522145 terminating']"
52,081110,001632,4804,INFO,dfs.DataNode$PacketResponder,Received block blk_8868106941010522145 of size 67108864 from /10.250.19.16,e3df2680,Received block <*> of size <*> from <*>,"['blk_8868106941010522145', '67108864', '/10.250.19.16']"
53,081110,001632,4805,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3742270958193263060 src: /10.251.71.16:55957 dest: /10.251.71.16:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-3742270958193263060', '/10.251.71.16:55957', '/10.251.71.16:50010']"
54,081110,001632,4807,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-69120004258440983 src: /10.251.27.63:52006 dest: /10.251.27.63:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-69120004258440983', '/10.251.27.63:52006', '/10.251.27.63:50010']"
55,081110,001632,4808,INFO,dfs.DataNode$DataXceiver,Receiving block blk_8494358806292363979 src: /10.251.29.239:41992 dest: /10.251.29.239:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_8494358806292363979', '/10.251.29.239:41992', '/10.251.29.239:50010']"
56,081110,001632,4811,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3777443222853261447 src: /10.250.19.16:48248 dest: /10.250.19.16:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-3777443222853261447', '/10.250.19.16:48248', '/10.250.19.16:50010']"
57,081110,001632,4811,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-4664487756260563836 src: /10.251.110.160:56720 dest: /10.251.110.160:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-4664487756260563836', '/10.251.110.160:56720', '/10.251.110.160:50010']"
58,081110,001632,4832,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_6600594283101777706 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_6600594283101777706 terminating']"
59,081110,001632,4832,INFO,dfs.DataNode$PacketResponder,Received block blk_6600594283101777706 of size 67108864 from /10.251.194.213,e3df2680,Received block <*> of size <*> from <*>,"['blk_6600594283101777706', '67108864', '/10.251.194.213']"
60,081110,001632,4833,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_126746973330987735 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_126746973330987735 terminating']"
61,081110,001632,4833,INFO,dfs.DataNode$PacketResponder,Received block blk_126746973330987735 of size 67108864 from /10.251.42.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_126746973330987735', '67108864', '/10.251.42.191']"
62,081110,001632,4834,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-4064402392580460648 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_-4064402392580460648 terminating']"
63,081110,001632,4834,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-9108269365332876000 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_-9108269365332876000 terminating']"
64,081110,001632,4834,INFO,dfs.DataNode$PacketResponder,Received block blk_-4064402392580460648 of size 19951482 from /10.251.74.192,e3df2680,Received block <*> of size <*> from <*>,"['blk_-4064402392580460648', '19951482', '/10.251.74.192']"
65,081110,001632,4834,INFO,dfs.DataNode$PacketResponder,Received block blk_-9108269365332876000 of size 67108864 from /10.251.110.160,e3df2680,Received block <*> of size <*> from <*>,"['blk_-9108269365332876000', '67108864', '/10.251.110.160']"
66,081110,001632,4835,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_8868106941010522145 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_8868106941010522145 terminating']"
67,081110,001632,4835,INFO,dfs.DataNode$PacketResponder,Received block blk_8868106941010522145 of size 67108864 from /10.250.19.16,e3df2680,Received block <*> of size <*> from <*>,"['blk_8868106941010522145', '67108864', '/10.250.19.16']"
68,081110,001632,4838,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_2837455799996929388 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_2837455799996929388 terminating']"
69,081110,001632,4838,INFO,dfs.DataNode$PacketResponder,Received block blk_2837455799996929388 of size 67108864 from /10.250.9.207,e3df2680,Received block <*> of size <*> from <*>,"['blk_2837455799996929388', '67108864', '/10.250.9.207']"
70,081110,001632,4843,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7777824497901115906 src: /10.251.91.15:42398 dest: /10.251.91.15:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_7777824497901115906', '/10.251.91.15:42398', '/10.251.91.15:50010']"
71,081110,001632,4845,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_2837455799996929388 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_2837455799996929388 terminating']"
72,081110,001632,4845,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-4064402392580460648 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_-4064402392580460648 terminating']"
73,081110,001632,4845,INFO,dfs.DataNode$PacketResponder,Received block blk_2837455799996929388 of size 67108864 from /10.250.6.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_2837455799996929388', '67108864', '/10.250.6.191']"
74,081110,001632,4845,INFO,dfs.DataNode$PacketResponder,Received block blk_-4064402392580460648 of size 19951482 from /10.251.127.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_-4064402392580460648', '19951482', '/10.251.127.191']"
75,081110,001632,4848,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6963839381415645022 src: /10.250.6.191:44882 dest: /10.250.6.191:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6963839381415645022', '/10.250.6.191:44882', '/10.250.6.191:50010']"
76,081110,001632,4850,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-4664487756260563836 src: /10.251.110.160:60709 dest: /10.251.110.160:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-4664487756260563836', '/10.251.110.160:60709', '/10.251.110.160:50010']"
77,081110,001632,4853,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_6957602416677739668 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_6957602416677739668 terminating']"
78,081110,001632,4853,INFO,dfs.DataNode$PacketResponder,Received block blk_6957602416677739668 of size 67108864 from /10.250.15.67,e3df2680,Received block <*> of size <*> from <*>,"['blk_6957602416677739668', '67108864', '/10.250.15.67']"
79,081110,001632,4855,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8242381673699890768 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_8242381673699890768 terminating']"
80,081110,001632,4855,INFO,dfs.DataNode$PacketResponder,Received block blk_8242381673699890768 of size 67108864 from /10.251.39.209,e3df2680,Received block <*> of size <*> from <*>,"['blk_8242381673699890768', '67108864', '/10.251.39.209']"
81,081110,001632,4856,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1880683910547246259 src: /10.251.39.209:58350 dest: /10.251.39.209:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-1880683910547246259', '/10.251.39.209:58350', '/10.251.39.209:50010']"
82,081110,001632,4861,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3742270958193263060 src: /10.251.71.16:46385 dest: /10.251.71.16:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-3742270958193263060', '/10.251.71.16:46385', '/10.251.71.16:50010']"
83,081110,001632,4863,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-327886716134987382 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_-327886716134987382 terminating']"
84,081110,001632,4863,INFO,dfs.DataNode$PacketResponder,Received block blk_-327886716134987382 of size 67108864 from /10.251.26.131,e3df2680,Received block <*> of size <*> from <*>,"['blk_-327886716134987382', '67108864', '/10.251.26.131']"
85,081110,001632,4870,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-1397587096438775466 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_-1397587096438775466 terminating']"
86,081110,001632,4870,INFO,dfs.DataNode$PacketResponder,Received block blk_-1397587096438775466 of size 67108864 from /10.251.29.239,e3df2680,Received block <*> of size <*> from <*>,"['blk_-1397587096438775466', '67108864', '/10.251.29.239']"
87,081110,001632,4871,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-7716635745528250214 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_-7716635745528250214 terminating']"
88,081110,001632,4871,INFO,dfs.DataNode$PacketResponder,Received block blk_-7716635745528250214 of size 67108864 from /10.251.215.16,e3df2680,Received block <*> of size <*> from <*>,"['blk_-7716635745528250214', '67108864', '/10.251.215.16']"
89,081110,001632,4872,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_4538815186467781103 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_4538815186467781103 terminating']"
90,081110,001632,4872,INFO,dfs.DataNode$PacketResponder,Received block blk_4538815186467781103 of size 67108864 from /10.251.39.242,e3df2680,Received block <*> of size <*> from <*>,"['blk_4538815186467781103', '67108864', '/10.251.39.242']"
91,081110,001632,4877,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1397587096438775466 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_-1397587096438775466 terminating']"
92,081110,001632,4877,INFO,dfs.DataNode$PacketResponder,Received block blk_-1397587096438775466 of size 67108864 from /10.251.91.15,e3df2680,Received block <*> of size <*> from <*>,"['blk_-1397587096438775466', '67108864', '/10.251.91.15']"
93,081110,001632,4880,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1880683910547246259 src: /10.251.39.209:53663 dest: /10.251.39.209:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-1880683910547246259', '/10.251.39.209:53663', '/10.251.39.209:50010']"
94,081110,001632,4880,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_8242381673699890768 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_8242381673699890768 terminating']"
95,081110,001632,4880,INFO,dfs.DataNode$PacketResponder,Received block blk_8242381673699890768 of size 67108864 from /10.251.39.209,e3df2680,Received block <*> of size <*> from <*>,"['blk_8242381673699890768', '67108864', '/10.251.39.209']"
96,081110,001632,4882,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-4664487756260563836 src: /10.250.6.191:49214 dest: /10.250.6.191:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-4664487756260563836', '/10.250.6.191:49214', '/10.250.6.191:50010']"
97,081110,001632,4882,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7777824497901115906 src: /10.251.91.15:36752 dest: /10.251.91.15:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_7777824497901115906', '/10.251.91.15:36752', '/10.251.91.15:50010']"
98,081110,001632,4882,INFO,dfs.DataNode$DataXceiver,Receiving block blk_9155125745604678598 src: /10.251.215.16:35997 dest: /10.251.215.16:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_9155125745604678598', '/10.251.215.16:35997', '/10.251.215.16:50010']"
99,081110,001632,4886,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6963839381415645022 src: /10.250.6.191:38582 dest: /10.250.6.191:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6963839381415645022', '/10.250.6.191:38582', '/10.250.6.191:50010']"
100,081110,001632,4888,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6963839381415645022 src: /10.251.66.102:60310 dest: /10.251.66.102:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6963839381415645022', '/10.251.66.102:60310', '/10.251.66.102:50010']"
101,081110,001632,4893,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-4064402392580460648 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_-4064402392580460648 terminating']"
102,081110,001632,4893,INFO,dfs.DataNode$PacketResponder,Received block blk_-4064402392580460648 of size 19951482 from /10.251.127.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_-4064402392580460648', '19951482', '/10.251.127.191']"
103,081110,001632,4904,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_126746973330987735 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_126746973330987735 terminating']"
104,081110,001632,4904,INFO,dfs.DataNode$PacketResponder,Received block blk_126746973330987735 of size 67108864 from /10.251.42.191,e3df2680,Received block <*> of size <*> from <*>,"['blk_126746973330987735', '67108864', '/10.251.42.191']"
105,081110,001632,4909,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-6757374485953225461 src: /10.251.42.191:35821 dest: /10.251.42.191:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-6757374485953225461', '/10.251.42.191:35821', '/10.251.42.191:50010']"
106,081110,001632,4914,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3777443222853261447 src: /10.251.107.242:51543 dest: /10.251.107.242:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-3777443222853261447', '/10.251.107.242:51543', '/10.251.107.242:50010']"
107,081110,001632,4923,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_8826085292178110414 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['1', 'blk_8826085292178110414 terminating']"
108,081110,001632,4923,INFO,dfs.DataNode$PacketResponder,Received block blk_8826085292178110414 of size 67108864 from /10.251.27.63,e3df2680,Received block <*> of size <*> from <*>,"['blk_8826085292178110414', '67108864', '/10.251.27.63']"
109,081110,001632,4938,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_4538815186467781103 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['0', 'blk_4538815186467781103 terminating']"
110,081110,001632,4938,INFO,dfs.DataNode$PacketResponder,Received block blk_4538815186467781103 of size 67108864 from /10.251.123.1,e3df2680,Received block <*> of size <*> from <*>,"['blk_4538815186467781103', '67108864', '/10.251.123.1']"
111,081110,001632,4946,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8826085292178110414 terminating,d38aa58d,PacketResponder <*> for block <*> <*>,"['2', 'blk_8826085292178110414 terminating']"
112,081110,001632,4946,INFO,dfs.DataNode$PacketResponder,Received block blk_8826085292178110414 of size 67108864 from /10.251.27.63,e3df2680,Received block <*> of size <*> from <*>,"['blk_8826085292178110414', '67108864', '/10.251.27.63']"
113,081110,001632,4953,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-69120004258440983 src: /10.251.27.63:42591 dest: /10.251.27.63:50010,09a53393,Receiving block <*> src: <*> dest: <*>,"['blk_-69120004258440983', '/10.251.27.63:42591', '/10.251.27.63:50010']"
